run,step,sha256,source_sha256,source_solution_path,algo,local_score,public_score,signed_gap,absolute_gap,eval_metric,remote_status,exec_time,exec_time_seconds,artifact_dir,has_source_rerun,manual_status,manual_invalid_reason,profile,autogluon_presets,time_limit
2-smiling-topaz-oarfish,11,04f2695bd85d4b81687ea4f5de81d8d4a1cfd43011a54d53062b0a429209a887,,,AG,0.9504447638566553,0.95002,0.00042476385665535243,0.00042476385665535243,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T012744-d86c156f-11,True,,,full_boost,medium_quality,600
2-married-stallion-of-courtesy,12,117e38ebe54ee5691eac05df30e6d47ec4b7e9232cffc18786c6f40bb5959bed,,,AG,0.9506530082176138,0.95001,0.0006430082176137608,0.0006430082176137608,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-married-stallion-of-courtesy/artifacts/20260705T221645-528fb6ca-12,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,0,f26e4d0a1755c73beed989d273437cf2e945b12da53bc4b9c5b8b0b1888a4014,,,AG,0.950319810618502,0.95001,0.0003098106185019933,0.0003098106185019933,balanced_accuracy,COMPLETE,1.1m,66.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T003825-504eb95e-0,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,26,0c752251dbed7d265137b9f3822e77eaacdfe37ef2a4e73c8e5851df914ae1da,,,AG,0.9503646418250152,0.95,0.0003646418250152772,0.0003646418250152772,balanced_accuracy,COMPLETE,1.4m,84.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T015804-6372971b-26,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,18,ba8a954dd27730de2c1b38902768a7e4f0d79ce05e940a94068329d68e71b994,,,AG,0.950454454451938,0.94994,0.0005144544519379846,0.0005144544519379846,balanced_accuracy,COMPLETE,1.0m,60.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T014320-a70c8884-18,False,,,full_boost,medium_quality,600
2-whimsical-albatross-from-camelot,69,0c8ec5b2fdc251164e95ab145577bf5ba55cc15d0d32785f22d23bd4e326119a,,,AG,0.9506596985415235,0.94993,0.0007296985415234936,0.0007296985415234936,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-whimsical-albatross-from-camelot/artifacts/20260705T230340-37dcae14-69,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,57,442fb07ba2688f91593ec497638babe797d98da5ef9053f225618570cb9e57a7,,,AG,0.9505045755861015,0.94992,0.0005845755861014768,0.0005845755861014768,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T194407-9370d27e-57,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,13,40dffa8dc84538fd54a1d30a1c448e773d40281895bf78ea083053b0a496fdef,,,AG,0.9503877788721176,0.94992,0.00046777887211757463,0.00046777887211757463,balanced_accuracy,COMPLETE,1.6m,96.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T013154-dcc68bc6-13,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,32,118e6b789d51a24e3363cc5e3567509d8ac0dfe02291b806030b23c0d0d92c16,,,AG,0.9505362607685872,0.9499,0.000636260768587249,0.000636260768587249,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T191602-5e0dabef-32,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,-1,8e0b2b0ba707fabae5ae6c17492b655f48cebabc29d42352b8121f2b99062daf,04f2695bd85d4b81687ea4f5de81d8d4a1cfd43011a54d53062b0a429209a887,logs/2-smiling-topaz-oarfish/artifacts/20260702T012744-d86c156f-11/solution.py,AG,0.9499528582179995,0.94989,6.28582179994508e-05,6.28582179994508e-05,balanced_accuracy,COMPLETE,11.0m,660.0,logs/2-smiling-topaz-oarfish/artifacts/20260703T232041,False,,,best_boost_gpu_1h,best,3600
2-smiling-topaz-oarfish,5,e264d0bfa5f61f49d6948b62c3566b5790ec204a904d8623fa049f1e80b53341,,,AG,0.9504570794899573,0.94989,0.0005670794899572673,0.0005670794899572673,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T010625-6831f6b4-5,False,,,full_boost,medium_quality,600
2-whimsical-albatross-from-camelot,11,b4711cf694f476cef6caa32e92aef114502684a1913cc0321f9e7b210ceadad5,,,AG,0.9506178277547713,0.94988,0.0007378277547713807,0.0007378277547713807,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-whimsical-albatross-from-camelot/artifacts/20260705T205955-28cad5f3-11,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,39,1cd182c6b3b227a1997eb9b165d332a082376692495ac9c2f1a20719062f14c5,,,AG,0.9505450177663634,0.94986,0.0006850177663633161,0.0006850177663633161,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T192656-63de5903-39,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,25,af716652b22cc4c159ab31b60145cc4d06f72c736f941d61eb6f569be51fd87d,,,AG,0.9502841235052951,0.94985,0.00043412350529514754,0.00043412350529514754,balanced_accuracy,COMPLETE,1.1m,66.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T015625-604cce3f-25,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,23,6472d7be4a5885cb34dd35ce751a30f4455838ac05a25607baf4808bb87782a1,,,AG,0.9502841235052951,0.94985,0.00043412350529514754,0.00043412350529514754,balanced_accuracy,COMPLETE,1.0m,60.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T015235-1b9e1ae8-23,False,,,s6e7_align_holdout_balanced_gpu_10m,medium_quality,600
2-smiling-topaz-oarfish,14,825e84322fa16827c9395f7ed1c273dcf4bc97f1602248d17c4712fbd90cdc05,,,AG,0.9501867619535062,0.94985,0.00033676195350618165,0.00033676195350618165,balanced_accuracy,COMPLETE,0.6m,36.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T013553-9e0f4cdb-14,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,4,93c31800dfe8de78916795f13ad071a5f9d53161c0a0e1c8d866b431b22278e1,,,AG,0.9502841235052951,0.94985,0.00043412350529514754,0.00043412350529514754,balanced_accuracy,COMPLETE,1.0m,60.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T010510-c1d5d45f-4,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,29,f477136d74111bf8006f3b8c39f2875db25ccece2462d35c31d8e0c9a903fe2e,,,AG,0.9504160789455423,0.94984,0.0005760789455422355,0.0005760789455422355,balanced_accuracy,COMPLETE,1.1m,66.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T020300-26eafbd8-29,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,24,8902dcada4239e544ac42af80dc37634240dc65be4a4845b6cd1d280ea40c530,,,AG,0.9505911063107438,0.94982,0.000771106310743841,0.000771106310743841,balanced_accuracy,COMPLETE,1.0m,60.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T190721-efee37c9-24,True,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,10,2c42837709505def9f2a8b93c0ab4d0d4912254e3b9724be3826f67156912319,,,AG,0.9503217530308609,0.94982,0.0005017530308608631,0.0005017530308608631,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T012624-1f85faf8-10,False,,,full_boost,medium_quality,600
experiments,-1,725c2b6a3a0f45cc17d5c5033e51655ef5ffb00ba04534a56a12a5ce8061fc77,,,AG,0.9500044407051195,0.94981,0.00019444070511942524,0.00019444070511942524,balanced_accuracy,COMPLETE,15.1m,906.0,logs/experiments/artifacts/20260705T224936,False,,,full_best_30m_gpu,best_quality,1800
2-romantic-guan-of-eternity,7,48bdb4a69c741508967a1861e266e4a5b838c96556aef7ebf2717428c93b8283,,,AG,0.9505213037492123,0.94979,0.0007313037492122643,0.0007313037492122643,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-romantic-guan-of-eternity/artifacts/20260707T205442-31d8a897-7,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,5,9ea9601b9aca0b20f236bb624e4c4c1b46ef23c19a757339266211bacd967e1a,,,AG,0.950477598463555,0.94979,0.0006875984635549282,0.0006875984635549282,balanced_accuracy,COMPLETE,1.0m,60.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T184555-520f3a8b-5,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,28,67b2500c70b15f7af4c88193c1facaf75d04da3626b90e3fc72c461241b73d25,,,AG,0.9503758713890726,0.94978,0.0005958713890726886,0.0005958713890726886,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T020141-b81dd330-28,False,,,full_boost,medium_quality,600
2-whimsical-albatross-from-camelot,100,8f8dd1a79a63222f85a2a0bbcae7d6bfd4a795ec9eaf466712d6c0b835eba6e3,,,AG,0.9506213628867394,0.94976,0.0008613628867393253,0.0008613628867393253,balanced_accuracy,COMPLETE,1.1m,66.0,logs/2-whimsical-albatross-from-camelot/artifacts/20260706T000326-019ad359-100,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,-1,5771c19333d8e49127f5fb797df9be1765bd007e568a19a532ae9b36e1c695e7,8902dcada4239e544ac42af80dc37634240dc65be4a4845b6cd1d280ea40c530,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T190721-efee37c9-24/solution.py,AG,0.9504286549640358,0.94975,0.0006786549640358519,0.0006786549640358519,balanced_accuracy,COMPLETE,10.2m,612.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T195934,False,,,full_boost,medium_quality,600
2-vociferous-tortoise-of-perspective,-1,03124827a853f22cf33689c83e9e98650c030125d68d941f513c58a4ff7116a3,1070897a05ac088919acd4c321348963dd2ef669c4a740b4209e212ebd5296d8,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T194210-61d3a1df-55/solution.py,AG,0.9498167739068227,0.94974,7.677390682270246e-05,7.677390682270246e-05,balanced_accuracy,COMPLETE,7.8m,468.0,logs/2-vociferous-tortoise-of-perspective/artifacts/20260705T202832,False,,,best_boost_gpu_1h,best,3600
2-smiling-topaz-oarfish,2,4921e3d2c4e5ed0cb8999a2f02afe5e537e853953a368bfee29cbaeca1ae2f0e,,,AG,0.9505126264546592,0.94974,0.0007726264546591421,0.0007726264546591421,balanced_accuracy,COMPLETE,1.1m,66.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T005425-e57324ca-2,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,30,11b30d8ec939b50d1768165296e29938f4c5d282bb98652ddf1562c642c637f8,,,AG,0.9505241961071312,0.94973,0.0007941961071312731,0.0007941961071312731,balanced_accuracy,COMPLETE,0.8m,48.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T020435-878805a3-30,False,,,full_boost,medium_quality,600
2-smiling-topaz-oarfish,22,a3cfbefbfc9d6aa7a146ba3d25af0b1cbd2ba4ec8ecd5ff24c5e9c9001d2d927,,,AG,0.95035059734842,0.94973,0.0006205973484200156,0.0006205973484200156,balanced_accuracy,COMPLETE,0.9m,54.0,logs/2-smiling-topaz-oarfish/artifacts/20260702T015106-72700db1-22,False,,,full_boost,medium_quality,600
